Amphimedon queenslandica
Nematostella vectensis
Stylophora pistillata
Caenorhabditis elegans
Uloborus diversus
Thereuonema tuberculata
Portunus trituberculatus
Penaeus monodon
Zootermopsis nevadensis
Apis mellifera
Anopheles gambiae
Drosophila melanogaster
Adineta vaga
Tridacna crocea
Crassostrea virginica
Tridacna squamosa
Mya arenaria
Haliotis rufescens
Octopus sinensis
Loligo pealeii
Sepia pharaonis
Sepia officinalis
Strongylocentrotus purpuratus
Saccoglossus kowalevskii
Branchiostoma floridae
Ciona intestinalis
Eptatretus burgeri
Petromyzon marinus
Callorhinchus milii
Leucoraja erinacea
Scyliorhinus canicula
Polypterus senegalus
Lepisosteus oculatus
Scleropages formosus
Danio rerio
Ictalurus punctatus
Oncorhynchus mykiss
Gadus morhua
Seriola dumerili
Oryzias latipes
Oreochromis niloticus
Gasterosteus aculeatus
Takifugu rubripes
Latimeria chalumnae
Protopterus annectens
Rhinatrema bivittatum
Xenopus tropicalis
Ambystoma mexicanum
Anolis carolinensis
Chrysemys picta
Alligator mississippiensis
Gallus gallus
Lonchura striata
Ornithorhynchus anatinus
Monodelphis domestica
Sarcophilus harrisii
Loxodonta africana
Dasypus novemcinctus
Bos taurus
Canis lupus
Mus musculus
Homo sapiens
